Time,Driver,Position,GapToLeader,IntervalToPositionAhead
12.598,63,1,LAP 1,LAP 1
42.68,63,1,LAP 0,LAP 0
3754.97,63,2,LAP 0,LAP 0
3755.544,63,2,+0.510,+0.510
3759.274,63,2,+0.414,+0.414
3763.314,63,2,+0.598,+0.598
3767.364,63,2,+0.916,+0.916
3772.507,63,2,+1.098,+1.098
3775.302,63,2,+1.194,+1.194
3777.429,63,2,+1.203,+1.203
3781.481,63,2,+1.295,+1.295
3784.736,63,2,+1.264,+1.264
3788.543,63,2,+1.221,+1.221
3792.464,63,2,+1.081,+1.081
3795.849,63,2,+0.908,+0.908
3800.915,63,2,+0.928,+0.928
3806.007,63,2,+0.801,+0.801
3809.994,63,2,+0.845,+0.845
3815.669,63,2,+0.802,+0.802
3819.109,63,2,+0.793,+0.793
3822.788,63,2,+0.840,+0.840
3824.803,63,2,+0.876,+0.876
3826.856,63,2,+0.900,+0.900
3832.017,63,2,+0.800,+0.800
3832.697,63,2,+0.765,+0.765
3835.54,63,2,+0.661,+0.661
3837.051,63,2,+0.743,+0.743
3841.869,63,2,+0.741,+0.741
3845.332,63,2,+0.607,+0.607
3848.768,63,2,+0.682,+0.682
3852.495,63,2,+0.722,+0.722
3857.328,63,2,+0.625,+0.625
3860.049,63,2,+0.566,+0.566
3862.243,63,2,+0.422,+0.422
3866.048,63,2,+0.472,+0.472
3869.3,63,2,+0.433,+0.433
3873.037,63,2,+0.359,+0.359
3876.744,63,2,+0.187,+0.187
3880.228,63,2,+0.040,+0.040
3885.416,63,2,+0.289,+0.289
3890.425,63,1,LAP 2,LAP 2
3917.794,63,1,LAP 3,LAP 3
3970.934,63,2,LAP 3,LAP 3
3971.385,63,2,+0.333,+0.333
3976.474,63,2,+0.104,+0.104
3980.645,63,2,+0.169,+0.169
3986.53,63,2,+0.279,+0.279
3990.125,63,2,+0.338,+0.338
3993.9,63,2,+0.510,+0.510
3996.096,63,2,+0.561,+0.561
3998.159,63,2,+0.546,+0.546
4003.457,63,2,+0.554,+0.554
4004.147,63,2,+0.551,+0.551
4006.982,63,2,+0.510,+0.510
4008.462,63,2,+0.571,+0.571
4013.402,63,2,+0.607,+0.607
4016.887,63,2,+0.484,+0.484
4020.458,63,2,+0.525,+0.525
4024.081,63,2,+0.622,+0.622
4029.017,63,2,+0.661,+0.661
4031.722,63,2,+0.649,+0.649
4033.768,63,2,+0.534,+0.534
4037.631,63,2,+0.593,+0.593
4040.849,63,2,+0.571,+0.571
4044.594,63,2,+0.512,+0.512
4048.304,63,2,+0.389,+0.389
4051.579,63,2,+0.263,+0.263
4056.83,63,2,+0.585,+0.585
4061.879,63,2,+0.428,+0.428
4066.047,63,2,+0.504,+0.504
4071.729,63,2,+0.461,+0.461
4075.19,63,2,+0.527,+0.527
4078.962,63,2,+0.740,+0.740
4081.043,63,2,+0.806,+0.806
4083.117,63,2,+0.859,+0.859
4088.292,63,2,+0.801,+0.801
4088.956,63,2,+0.787,+0.787
4091.622,63,2,+0.726,+0.726
4093.08,63,2,+0.792,+0.792
4097.912,63,2,+0.808,+0.808
4101.401,63,2,+0.646,+0.646
4104.866,63,2,+0.756,+0.756
4108.576,63,2,+0.863,+0.863
4113.387,63,2,+0.865,+0.865
4116.168,63,2,+0.922,+0.922
4118.241,63,2,+0.895,+0.895
4122.182,63,2,+0.962,+0.962
4125.318,63,2,+0.944,+0.944
4129.058,63,2,+0.908,+0.908
4132.845,63,2,+0.841,+0.841
4136.118,63,2,+0.741,+0.741
4141.008,63,2,+0.751,+0.751
4146.094,63,2,+0.664,+0.664
4150.133,63,2,+0.670,+0.670
4155.856,63,2,+0.646,+0.646
4159.513,63,2,+0.708,+0.708
4163.022,63,2,+0.898,+0.898
4165.054,63,2,+0.902,+0.902
4167.128,63,2,+0.888,+0.888
4172.304,63,2,+0.835,+0.835
4172.938,63,2,+0.823,+0.823
4175.668,63,2,+0.755,+0.755
4177.062,63,2,+0.756,+0.756
4181.856,63,2,+0.722,+0.722
4185.32,63,2,+0.486,+0.486
4188.732,63,2,+0.467,+0.467
4192.43,63,2,+0.584,+0.584
4197.351,63,2,+0.602,+0.602
4200.069,63,2,+0.615,+0.615
4202.168,63,2,+0.562,+0.562
4205.976,63,2,+0.596,+0.596
4209.17,63,2,+0.560,+0.560
4212.907,63,2,+0.493,+0.493
4216.637,63,2,+0.351,+0.351
4219.889,63,2,+0.183,+0.183
4225.039,63,2,+0.370,+0.370
4230.012,63,2,+0.159,+0.159
4234.095,63,2,+0.139,+0.139
4240.11,63,2,+0.244,+0.244
4243.687,63,2,+0.423,+0.423
4247.556,63,2,+0.676,+0.676
4249.722,63,2,+0.776,+0.776
4251.88,63,2,+0.803,+0.803
4256.966,63,2,+0.686,+0.686
4257.578,63,2,+0.640,+0.640
4260.161,63,2,+0.448,+0.448
