Time,Driver,Position,GapToLeader,IntervalToPositionAhead
6.126,1,1,LAP 1,LAP 1
52.798,1,1,LAP 0,LAP 0
57.032,1,1,LAP 1,LAP 1
2745.622,1,1,LAP 2,LAP 2
2838.308,1,1,LAP 3,LAP 3
2930.382,1,1,LAP 4,LAP 4
3022.979,1,1,LAP 5,LAP 5
3115.587,1,1,LAP 6,LAP 6
3207.51,1,1,LAP 7,LAP 7
3299.645,1,1,LAP 8,LAP 8
3391.914,1,1,LAP 9,LAP 9
3484.33,1,1,LAP 10,LAP 10
3576.222,1,1,LAP 11,LAP 11
3668.154,1,1,LAP 12,LAP 12
3760.351,1,1,LAP 13,LAP 13
3852.862,1,1,LAP 14,LAP 14
3945.205,1,1,LAP 15,LAP 15
4037.602,1,1,LAP 16,LAP 16
4129.654,1,1,LAP 17,LAP 17
4221.704,1,1,LAP 18,LAP 18
4313.843,1,1,LAP 19,LAP 19
6.126,12,2,,
2657.118,12,2,+0.778,+0.778
2659.108,12,3,+0.778,+0.778
2659.214,12,4,+0.778,+0.778
2659.624,12,5,+0.778,+0.778
2659.741,12,5,+0.854,+0.060
2664.342,12,4,+0.854,+0.060
2664.425,12,4,+1.136,+0.356
2668.642,12,4,+1.489,+0.361
2672.594,12,4,+1.561,+0.310
2676.087,12,4,+1.731,+0.339
2678.426,12,4,+1.792,+0.285
2681.959,12,4,+2.010,+0.326
2687.061,12,4,+2.145,+0.487
2690.13,12,4,+2.069,+0.439
2693.391,12,4,+1.960,+0.365
2695.97,12,4,+1.850,+0.300
2699.057,12,4,+1.709,+0.147
2702.79,12,4,+1.636,+0.046
2709.025,12,4,+2.455,+0.297
2712.833,12,4,+2.664,+0.462
2717.213,12,4,+2.758,+0.521
2721.975,12,4,+2.851,+0.583
2726.229,12,4,+2.893,+0.658
2730.561,12,4,+2.692,+0.596
2734.553,12,4,+2.379,+0.453
2736.881,12,4,+2.397,+0.531
2741.259,12,4,+2.438,+0.538
2744.425,12,4,+2.548,+0.572
2747.444,12,4,+2.553,+0.569
2748.157,12,4,+2.532,+0.574
2751.02,12,4,+2.375,+0.611
2753.212,12,4,+2.392,+0.721
2757.718,12,4,+2.541,+0.689
2761.549,12,4,+2.621,+0.495
2765.355,12,4,+2.504,+0.139
2769.233,12,4,+2.952,+0.355
2771.654,12,4,+3.093,+0.491
2775.279,12,4,+3.253,+0.671
2780.107,12,4,+3.306,+0.737
2783.216,12,4,+3.288,+0.696
2786.435,12,4,+3.153,+0.609
2788.935,12,4,+2.979,+0.486
2791.998,12,4,+2.744,+0.260
2795.763,12,4,+2.564,+0.233
2802.107,12,4,+3.370,+0.749
2805.826,12,4,+3.354,+0.918
2810.382,12,4,+3.557,+1.061
2815.375,12,4,+3.526,+1.052
2819.341,12,4,+3.454,+1.015
2823.675,12,4,+3.192,+0.964
2827.691,12,4,+2.879,+0.867
2830.034,12,4,+3.002,+1.055
2834.486,12,4,+3.119,+1.014
2837.633,12,4,+3.238,+1.014
2840.692,12,4,+3.254,+1.049
2841.433,12,4,+3.231,+1.080
2844.341,12,4,+3.115,+1.280
2846.495,12,4,+3.112,+1.397
2850.869,12,4,+3.216,+1.247
2854.774,12,4,+3.280,+1.033
2858.671,12,4,+3.231,+0.734
2862.079,12,4,+3.293,+0.642
2864.518,12,4,+3.396,+0.782
2867.974,12,4,+3.618,+0.945
2873.009,12,4,+3.631,+1.039
2876.187,12,4,+3.643,+1.018
2879.44,12,4,+3.585,+1.005
2882.078,12,4,+3.511,+0.977
2885.179,12,4,+3.329,+0.814
2889.132,12,4,+3.447,+0.909
2894.85,12,4,+3.497,+0.977
2898.569,12,4,+3.559,+1.008
2902.944,12,4,+3.654,+1.107
2907.795,12,4,+3.716,+1.155
2911.948,12,4,+3.687,+1.102
2916.34,12,4,+3.529,+1.061
2920.372,12,4,+3.278,+0.984
2922.656,12,4,+3.330,+1.081
2927.018,12,4,+3.436,+0.890
2930.194,12,4,+3.590,+0.878
2933.303,12,4,+3.668,+0.953
2934.084,12,4,+3.693,+1.021
2937.288,12,4,+3.696,+1.314
2939.303,12,4,+3.758,+1.379
2943.584,12,4,+3.770,+1.267
2947.413,12,4,+3.791,+1.082
2951.241,12,4,+3.689,+0.777
2954.678,12,4,+3.696,+0.695
2957.084,12,4,+3.759,+0.753
2960.616,12,4,+3.973,+0.895
2965.663,12,4,+4.057,+0.988
2968.775,12,4,+4.054,+0.947
2971.978,12,4,+3.934,+0.825
2974.494,12,4,+3.773,+0.639
2977.619,12,4,+3.602,+0.396
2981.603,12,4,+3.753,+0.465
2987.275,12,4,+3.873,+0.568
2991.072,12,4,+3.827,+0.681
2995.587,12,4,+3.938,+0.645
3000.524,12,4,+3.955,+0.741
3004.73,12,4,+3.911,+0.720
3009.067,12,4,+3.704,+0.584
3013.02,12,4,+3.393,+0.387
3015.426,12,4,+3.534,+0.498
3019.778,12,4,+3.637,+0.529
3022.951,12,4,+3.746,+0.586
3026.033,12,4,+3.782,+0.625
3026.775,12,4,+3.786,+0.647
3029.74,12,4,+3.728,+0.695
3031.879,12,4,+3.725,+0.732
3036.401,12,4,+3.753,+0.738
3040.233,12,4,+3.899,+0.796
3044.087,12,4,+3.755,+0.595
3047.571,12,4,+3.749,+0.624
3049.79,12,4,+3.749,+0.682
3053.295,12,4,+3.881,+0.853
3058.393,12,4,+4.004,+0.960
3061.542,12,4,+4.016,+0.931
3064.755,12,4,+3.899,+0.816
3067.306,12,4,+3.748,+0.632
3070.423,12,4,+3.566,+0.402
3074.409,12,4,+3.757,+0.511
3080.203,12,4,+3.943,+0.646
3083.944,12,4,+3.983,+0.727
3088.46,12,4,+4.168,+0.915
3093.433,12,4,+4.253,+1.060
3097.625,12,4,+4.232,+1.041
3102.001,12,4,+4.109,+0.983
3106.045,12,4,+3.876,+0.881
3108.365,12,4,+3.964,+1.027
3112.777,12,4,+4.040,+1.056
3115.973,12,4,+4.148,+1.085
3118.969,12,4,+4.142,+1.078
3119.684,12,4,+4.119,+1.077
3122.542,12,4,+3.978,+1.078
3124.642,12,4,+3.906,+1.055
3128.925,12,4,+3.950,+1.004
3132.864,12,4,+4.041,+0.987
3136.74,12,4,+3.925,+0.807
3140.258,12,4,+3.997,+0.875
3142.633,12,4,+4.047,+0.970
3146.088,12,4,+4.189,+1.133
3151.169,12,4,+4.347,+1.262
3154.293,12,4,+4.337,+1.250
3157.594,12,4,+4.283,+1.206
3160.196,12,4,+4.218,+1.101
3163.341,12,4,+4.056,+0.897
3167.324,12,4,+4.179,+1.027
3172.933,12,4,+4.312,+1.009
3176.741,12,4,+4.430,+1.144
3181.202,12,4,+4.633,+1.281
3186.029,12,4,+4.631,+1.250
3190.185,12,4,+4.605,+1.223
3194.624,12,4,+4.537,+1.219
3198.709,12,4,+4.365,+1.169
3200.975,12,4,+4.456,+1.269
3205.28,12,4,+4.542,+1.273
3208.41,12,4,+4.642,+1.297
3211.441,12,4,+4.674,+1.315
3212.306,12,4,+4.686,+1.337
3215.244,12,4,+4.682,+1.423
3217.274,12,4,+4.688,+1.518
3221.618,12,4,+4.794,+1.490
3225.592,12,4,+4.808,+1.391
3229.409,12,4,+4.592,+1.186
3232.91,12,4,+4.592,+1.180
3235.133,12,4,+4.600,+1.232
3238.633,12,4,+4.742,+1.358
3243.724,12,4,+4.842,+1.448
3246.829,12,4,+4.852,+1.443
3250.124,12,4,+4.814,+1.407
3252.741,12,4,+4.759,+1.329
