year,round_no,circuit,race,hard,medium,soft
2025,1,Melbourne,Australian Grand Prix,C3,C4,C5
2025,2,Shanghai,Chinese Grand Prix,C2,C3,C4
2025,3,Suzuka,Japanese Grand Prix,C1,C2,C3
2025,4,Sakhir,Bahrain Grand Prix,C1,C2,C3
2025,5,Jeddah,Saudi Arabian Grand Prix,C3,C4,C5
2025,6,Miami,Miami Grand Prix,C3,C4,C5
2025,7,Imola,Emilia Romagna Grand Prix,C4,C5,C6
2025,8,Monte Carlo,Monaco Grand Prix,C4,C5,C6
2025,9,Catalunya,Spanish Grand Prix,C1,C2,C3
2025,10,Montreal,Canadian Grand Prix,C4,C5,C6
2025,11,Spielberg,Austrian Grand Prix,C3,C4,C5
2025,12,Silverstone,British Grand Prix,C2,C3,C4
2025,13,Spa-Francorchamps,Belgian Grand Prix,C1,C3,C4
2025,14,Hungaroring,Hungarian Grand Prix,C3,C4,C5
2025,15,Zandvoort,Dutch Grand Prix,C2,C3,C4
2025,16,Monza,Italian Grand Prix,C3,C4,C5
2025,17,Baku,Azerbaijan Grand Prix,C4,C5,C6
2025,18,Singapore,Singapore Grand Prix,C3,C4,C5
2025,19,Austin,United States Grand Prix,C1,C3,C4
2025,20,Mexico City,Mexico City Grand Prix,C2,C4,C5
2024,1,Sakhir,Bahrain Grand Prix,C1,C2,C3
2024,2,Jeddah,Saudi Arabian Grand Prix,C2,C3,C4
2024,3,Melbourne,Australian Grand Prix,C3,C4,C5
2024,4,Suzuka,Japanese Grand Prix,C1,C2,C3
2024,5,Shanghai,Chinese Grand Prix,C2,C3,C4
2024,6,Miami,Miami Grand Prix,C2,C3,C4
2024,7,Imola,Emilia Romagna Grand Prix,C3,C4,C5
2024,8,Monte Carlo,Monaco Grand Prix,C3,C4,C5
2024,9,Montreal,Canadian Grand Prix,C3,C4,C5
2024,10,Catalunya,Spanish Grand Prix,C1,C2,C3
2024,11,Spielberg,Austrian Grand Prix,C3,C4,C5
2024,12,Silverstone,British Grand Prix,C1,C2,C3
2024,13,Hungaroring,Hungarian Grand Prix,C3,C4,C5
2024,14,Spa-Francorchamps,Belgian Grand Prix,C2,C3,C4
2024,15,Zandvoort,Dutch Grand Prix,C1,C2,C3
2024,16,Monza,Italian Grand Prix,C3,C4,C5
2024,17,Baku,Azerbaijan Grand Prix,C3,C4,C5
2024,18,Singapore,Singapore Grand Prix,C3,C4,C5
2024,19,Austin,United States Grand Prix,C2,C3,C4
2024,20,Mexico City,Mexico City Grand Prix,C3,C4,C5
2024,21,Interlagos,São Paulo Grand Prix,C3,C4,C5
2024,22,Las Vegas,Las Vegas Grand Prix,C3,C4,C5
2024,23,Lusail,Qatar Grand Prix,C1,C2,C3
2024,24,Yas Marina Circuit,Abu Dhabi Grand Prix,C3,C4,C5
2023,1,Sakhir,Bahrain Grand Prix,C1,C2,C3
